38,Cal State Bakersfield,31,12,19,0.387,-7.11,-3.26,6,10,9,7,3,12,68,25.3,58.2,0.435,4.97,15.8,0.314,12.4,18.2,0.684,12.8,37.3,11.7,6.26,3.03,13.6,21.4,,
39,Cal State Fullerton,31,11,20,0.355,-6.79,-1.38,6,10,6,8,4,11,68.6,24.2,56,0.432,6.26,18.9,0.331,14,20.8,0.672,8.06,33.5,11.5,5.1,3,13.1,18.5,,
40,Cal State Northridge,32,15,17,0.469,-6.37,-0.97,10,6,10,4,5,12,76.1,27.4,60.2,0.456,7.59,20.4,0.373,13.7,18.8,0.726,9.06,33.4,14,5.66,3.16,11.3,17.3,,
41,California Baptist,31,21,10,0.677,-1.99,-6.66,10,6,15,5,6,5,79.5,26.6,60.3,0.442,9.87,26,0.38,16.4,20.8,0.786,11.6,41,14.4,4.16,3.48,12.8,18.4,,
42,UC-Davis,32,14,18,0.438,-4.7,-2.63,8,8,8,4,5,12,72.8,25.5,55.3,0.461,8.09,20.4,0.397,13.7,17.4,0.787,7.31,30.7,12.8,5.78,1.78,12.8,18.5,,
43,UC-Irvine,32,21,11,0.656,3.73,-2.18,13,3,11,2,8,8,74,27.8,58.7,0.473,6.19,17.5,0.354,12.3,16.6,0.739,11.4,39.5,14.8,6.44,3.72,13.8,18.4,,
44,UC-Riverside,32,17,15,0.531,-3.63,-4.18,7,9,11,5,6,10,64.3,23.3,53.3,0.436,7.94,22.6,0.352,9.91,14.4,0.689,8.75,35.8,12.3,4.97,2.69,13.2,17.5,,
45,UC-Santa Barbara,31,21,10,0.677,-0.57,-4.06,10,6,13,3,8,7,70.8,24.7,53.9,0.458,6.45,18.9,0.342,15,19.8,0.756,10.3,34.2,13.9,4.74,2.52,11.8,16.8,,
46,University of California,32,14,18,0.438,3.2,9.05,7,11,12,5,1,10,63.2,22.1,52.5,0.421,5,14.9,0.335,14,18.9,0.738,8.06,32.6,9.19,4.03,2.5,12.8,18.8,,
47,Campbell,31,15,16,0.484,-8.51,-8.1,6,12,8,5,6,10,68.7,25.2,54.8,0.459,7.97,22.8,0.35,10.4,14.2,0.731,7,30.6,14.9,7.19,2.94,12.8,17.6,,
48,Canisius,32,12,20,0.375,-7.6,-5.44,7,13,7,6,4,12,68.6,25.2,58.2,0.433,6.03,20,0.302,12.2,17.6,0.696,10.3,33.5,14.1,7.09,2.5,14.3,18.8,,
49,Central Arkansas,31,10,21,0.323,-11.26,-2.7,9,11,8,4,2,16,74.7,25.1,59.4,0.422,7.45,24,0.31,17.1,23.9,0.717,10.6,38.3,14.5,5.29,5.13,17.7,20.5,,
50,Central Connecticut State,31,4,27,0.129,-20.33,-4.63,3,15,4,9,0,16,63.2,22.7,57.2,0.398,6.45,18.1,0.357,11.3,16.6,0.676,8.48,31.9,10.1,6.42,3.39,14.2,18.7,,
51,Central Florida,30,16,14,0.533,5.13,4.13,7,11,10,6,4,7,68.9,24.6,57.1,0.431,7.1,22,0.323,12.5,17.6,0.711,10,34.6,13.5,6.5,2.9,13.8,16.6,,
52,Central Michigan,32,14,18,0.438,-3.4,-0.26,7,11,12,4,2,14,78.3,27.4,63.7,0.43,7.72,23.8,0.324,15.8,21.3,0.746,10.9,36,11.6,9.13,2.5,12.7,16.3,,
53,Charleston Southern,32,14,18,0.438,-13.14,-6.98,7,11,9,6,5,11,68.8,24.8,58,0.427,8.06,24.8,0.325,11.3,15.2,0.741,8.13,32.2,13.3,5.94,2.56,12.6,15.4,,
54,Charlotte,29,16,13,0.552,0.46,-1.09,10,8,13,2,3,11,66.3,23.1,51,0.453,6.38,18.8,0.34,13.6,19.4,0.703,6.48,31.2,12.1,7.62,3.41,13.9,15.3,,
55,Chattanooga,33,20,13,0.606,0.39,-1.9,10,8,10,4,7,8,73,26.3,57.8,0.455,8.52,23.8,0.357,11.9,16.7,0.712,9.12,35.2,13.8,4.79,1.48,12,15.3,,
56,Chicago State,29,4,25,0.138,-28.2,-2.85,0,14,3,11,1,12,61.4,20.6,49.9,0.412,5.59,17.5,0.32,14.7,20.4,0.721,7.14,29.2,10.3,4.97,2.52,17.7,20.4,,
57,Cincinnati,30,20,10,0.667,12.33,6.73,13,5,13,2,5,6,72.7,25.4,57.1,0.445,6.57,20.6,0.319,15.3,22.6,0.677,11,37.7,14.6,6.53,4.87,14.4,18,,
58,Citadel,30,6,24,0.2,-13.82,-1,0,18,3,11,3,12,74.8,26.3,60.7,0.434,9.33,28.4,0.328,12.9,18.6,0.691,8.23,34.1,14.4,6.73,2.93,15.2,17.1,,
59,Clemson,31,16,15,0.516,10.26,7.88,9,11,11,6,3,8,66.5,23.7,55.4,0.428,8.1,25.7,0.315,11,16,0.686,8,33.7,12.9,6.81,2.39,12.5,15.2,,
60,Cleveland State,32,11,21,0.344,-11.16,-2.45,7,11,6,8,3,13,64.2,23.1,55.4,0.416,3.75,12.8,0.294,14.3,21.5,0.664,11.6,35,11.8,7.69,2.63,15.2,20.3,,
61,Coastal Carolina,33,16,17,0.485,-0.83,-0.31,8,12,9,9,7,7,78,27.7,61.5,0.451,7.33,21.8,0.337,15.2,21.2,0.716,13.3,40.3,13.5,7.52,2.79,16.1,22,,
62,Colgate,34,25,9,0.735,1.47,-5.63,14,4,15,2,9,7,76.1,27.4,61.1,0.448,10.1,28.1,0.357,11.2,15,0.748,10,36.6,14.4,6.06,2.88,10.9,15.1,,
63,College of Charleston,31,17,14,0.548,0.53,-0.84,11,7,10,5,6,6,70.2,24.4,55.4,0.44,7.65,22,0.347,13.8,18.2,0.761,7.68,32.5,10.9,6.68,2.52,10.8,16.9,,
64,Colorado State,32,20,12,0.625,6.7,3.96,11,7,12,4,5,6,75.5,26.3,56,0.469,8.06,22,0.366,14.8,21.9,0.679,8.88,35.7,15.5,6.53,2,13.1,15.3,,
65,Colorado,32,21,11,0.656,14.91,8.31,10,8,13,3,4,7,70.9,24.3,55.6,0.437,7.53,21.5,0.351,14.8,20.1,0.736,10.1,36.8,13.2,5.72,3.06,13.2,14.7,,
66,Columbia,30,6,24,0.2,-10.19,-2.5,1,13,5,7,0,16,66.3,24.8,60.6,0.409,6.73,22.4,0.301,9.93,13.6,0.73,7.6,34.4,10.9,5.47,3.1,11.2,15.5,,
