229,Northwestern,31,8,23,0.258,5.35,10.51,3,17,5,11,2,10,70.1,24.8,59.1,0.42,8.52,25.1,0.34,11.9,16.9,10.7,38.2,15.5,5.48,3.39,10.7,15.1,,
230,Notre Dame,32,20,12,0.625,11.21,5.62,10,10,15,4,4,7,68.7,26,62.8,0.414,7.66,22.8,0.337,8.94,12.4,10.8,38.2,13.2,5.66,3.16,11.7,15.3,,
231,Oakland,33,14,19,0.424,-5.92,-3.1,8,10,8,5,4,12,69.7,25.4,60.1,0.422,8.58,26.1,0.329,10.4,15.4,11.2,36.2,14.6,6.61,2.85,12.2,19.7,,
232,Ohio State,31,21,10,0.677,19.37,10.24,11,9,15,2,4,7,62.9,22.2,55.9,0.397,7.23,22.1,0.327,11.3,16.4,9.16,31.5,10.9,4.97,3.06,12.2,18.6,,
233,Ohio,32,17,15,0.531,0.74,0.17,8,10,12,5,4,8,68.5,23.6,56.3,0.418,7.47,22.7,0.329,13.9,17.8,8.53,33.6,11.1,6.22,2.38,12.7,17.9,,
234,Oklahoma State,32,18,14,0.563,12.01,10.51,7,11,10,6,5,7,66.1,22.6,56.3,0.401,7.47,25,0.299,13.5,18.7,10.4,34.8,12.8,6.16,3.31,14.1,17.6,,
235,Oklahoma,31,19,12,0.613,13.48,10.64,9,9,12,3,4,8,67.4,25.1,62.8,0.399,8.45,25.2,0.336,8.81,12.4,10.7,38.1,11.9,6.19,2.52,11.6,17.3,,
236,Old Dominion,32,13,19,0.406,0.02,0.06,9,9,10,4,3,11,65.6,22,54.3,0.405,8.31,24.6,0.338,13.3,18.5,7.63,33.9,12,5.13,3.75,12.6,16.1,,
237,Oral Roberts,31,17,14,0.548,2.16,-1.58,9,7,13,1,3,12,73.1,26.2,59.6,0.439,7.77,23.2,0.335,13,18,9.48,35.3,13,4.45,3.32,13.4,17,,
238,Oregon State,31,18,13,0.581,9.7,6.15,7,11,12,4,3,8,67.6,24,55.7,0.431,7.03,20.3,0.347,12.6,17.2,9.81,33.4,13.2,5.58,3.06,12.4,18.7,,
239,Oregon,31,24,7,0.774,18.22,9.09,13,5,17,0,5,5,66.7,23.4,57.4,0.407,7.61,23.3,0.326,12.4,16.9,11,33.3,12.4,4.1,3.55,13.5,15.5,,
240,Pacific,33,23,10,0.697,3.81,0.19,11,5,15,3,7,5,64.5,21.5,51.8,0.416,6.33,18.7,0.339,15.1,21.3,6.33,28,8.91,5.3,2.52,12.3,18.5,,
241,Penn State,31,21,10,0.677,16.12,9.25,11,9,14,3,5,6,68.2,24.5,59.5,0.411,6.35,19.5,0.326,12.9,18.9,10.4,37.5,12.1,5.45,3.23,13.3,18,,
242,Pennsylvania,27,16,11,0.593,1.07,-0.36,8,6,8,3,6,7,70.6,26.5,63.1,0.42,6.48,19.4,0.335,11.1,15.5,10.5,37.8,10.6,7.22,2.96,12,15.1,,
